İSİM,SÜRE,YIL,ÜLKE,YÖNETMEN,TÜR,DİĞER İSMİ
EuroTrip – Avrupa Muhabbeti,92 Dakika,2004,ABD,Jeff Schaffer,Komedi,EuroTrip
Midnight Cowboy – Geceyarısı Kovboyu,113 Dakika,1969,ABD,John Schlesinger,Dram,Midnight Cowboy
Corbin Nash,94 Dakika,2018,ABD  Birleşik Krallık,Ben Jagger,Aksiyon  Gerilim  Korku,Corbin Nash
Jodorowsky’s Dune,90 Dakika,2013,ABD  Fransa,Frank Pavich,Belgesel,Jodorowsky's Dune
El Topo – Köstebek,125 Dakika,1970,Meksika,Alejandro Jodorowsky,Dram  Western,El Topo
Amistad,155 Dakika,1997,ABD,Steven Spielberg,Dram  Tarih,Amistad
Paterson,118 Dakika,2016,ABD  Almanya  Fransa,Jim Jarmusch,Dram  Komedi  Romantik,Paterson
They Shoot Horses Don’t They? – Son Gerçek,129 Dakika,1969,ABD,Sydney Pollack,Dram,They Shoot Horses Don't They?
Europa Report – Jüpiter Macerası,90 Dakika,2013,ABD,Sebastián Cordero,Bilim Kurgu  Dram  Gerilim  Gizem,Europa Report
Fish Tank – Akvaryum,123 Dakika,2009,Birleşik Krallık  Hollanda,Andrea Arnold,Dram,Fish Tank
Holding the Man,127 Dakika,2015,Avustralya,Neil Armfield,Biyografi  Dram  Romantik,Holding the Man
Margot at the Wedding – Kız Kardeşim Evleniyor,93 Dakika,2007,ABD,Noah Baumbach,Dram  Komedi,Margot at the Wedding
Eden à l’Ouest – Cennet Batıda,110 Dakika,2009,Fransa  İtalya  Yunanistan,Costa-Gavras,Dram,Eden is West
Volchok,88 Dakika,2009,Rusya,Vasiliy Sigarev,Dram,Wolfy
Possession – Saplantı,124 Dakika,1981,Almanya  Fransa,Andrzej Żuławski,Dram  Korku,Possession
Pig,90 Dakika,2011,ABD,Henry Barrial,Bilim Kurgu  Dram  Gerilim  Gizem,Pig
Awakenings – Uyanışlar,121 Dakika,1990,ABD,Penny Marshall,Biyografi  Dram,Awakenings
Every Day,97 Dakika,2018,ABD,Michael Sucsy,Dram  Fantastik  Romantik,Every Day
Lal Gece,92 Dakika,2012,Türkiye,Reis Çelik,Dram,Lal Gece
Goal! III – Gol 3,96 Dakika,2009,Almanya,Andrew Morahan,Dram  Romantik  Spor,Goal! III  Taking On The World
Goal II: Living the Dream – Gol 2,115 Dakika,2007,Birleşik Krallık,Jaume Collet-Serra,Dram  Spor,Goal! II  Living the Dream
Goal! – Gol!,118 Dakika,2005,ABD  Birleşik Krallık,Danny Cannon,Dram  Romantik  Spor,Goal!
Indigènes – İsimsiz Kahramanlar,128 Dakika,2006,Belçika  Cezayir  Fas  Fransa,Rachid Bouchareb,Dram  Savaş,Days of Glory
Hunt for the Wilderpeople,101 Dakika,2016,Yeni Zelanda,Taika Waititi,Dram  Komedi  Macera,Hunt for the Wilderpeople
The Hours – Saatler,110 Dakika,2002,ABD,Stephen Daldry,Dram  Romantik,The Hours
Klute – Fahişe,114 Dakika,1971,ABD,Alan J. Pakula,Gerilim  Gizem  Suç,Klute
Still Alice – Unutma Beni,101 Dakika,2014,ABD,Richard Glatzer,Dram,Still Alice
Antichrist – Deccal,108 Dakika,2009,Almanya  Danimarka  Fransa  İsveç  İtalya,Lars von Trier,Dram  Korku,Antichrist
I Don’t Feel at Home in This World Anymore,93 Dakika,2017,ABD,Macon Blair,Dram  Gerilim  Komedi  Suç,I Don't Feel at Home in This World Anymore
La Montaña Sagrada – Kutsal Dağ,114 Dakika,1973,ABD  Meksika,Alejandro Jodorowsky,Dram  Fantastik  Macera,The Holy Mountain
Fine Mrtve Djevojke,77 Dakika,2002,Hırvatistan,Dalibor Matanić,Dram  Gerilim,Fine Dead Girl
The Dead Girl,85 Dakika,2006,ABD,Karen Moncrieff,Dram  Gizem  Suç,The Dead Girl
Blue Ruin,90 Dakika,2013,ABD,Jeremy Saulnier,Dram  Gerilim  Suç,Blue Ruin
Along Came Polly – Polly Gelince,90 Dakika,2004,ABD,John Hamburg,Komedi  Romantik,Along Came Polly
Firelight – Yürek Yangını,103 Dakika,1997,ABD  Birleşik Krallık,William Nicholson,Dram  Romantik,Firelight
The Lucky One – Şanslı Biri,101 Dakika,2012,ABD,Scott Hicks,Dram  Romantik,The Lucky One
The Counselor – Danışman,117 Dakika,2013,ABD  Birleşik Krallık,Ridley Scott,Dram  Gerilim  Suç,The Counselor
Des vents contraires – Sert Rüzgarlar,91 Dakika,2011,Fransa,Jalil Lespert,Dram  Gizem,Headwinds
Lo imposible – Kıyamet Günü,114 Dakika,2012,ABD  İspanya,J. A. Bayona,Dram  Gerilim  Tarih,The impossible
La Planète Sauvage – Vahşi Gezegen,72 Dakika,1973,Çekya  Fransa,René Laloux,Animasyon  Bilim Kurgu,Fantastic Planet
Ready Player One,140 Dakika,2018,ABD,Steven Spielberg,Aksiyon  Bilim Kurgu  Macera,Ready Player One
Game Night – Oyun Gecesi,100 Dakika,2018,ABD,John Francis Daley,Gerilim  Gizem  Komedi  Suç,Game Night
The Lifeguard,98 Dakika,2013,ABD,Liz W. Garcia,Dram  Romantik,The Lifeguard
The Guard,96 Dakika,2011,İrlanda,John Michael McDonagh,Gerilim  Komedi  Suç,The Guard
Zen,127 Dakika,2009,Japonya,Banmei Takahashi,Biyografi  Dram,Zen
Kong: Skull Island – Kong: Kafatası Adası,118 Dakika,2017,ABD,Jordan Vogt-Roberts,Aksiyon  Bilim Kurgu  Fantastik  Macera,Kong  Skull Island
King Kong,187 Dakika,2005,ABD  Almanya  Yeni Zelanda,Peter Jackson,Aksiyon  Dram  Macera  Romantik,King Kong
King Kong,100 Dakika,1933,ABD,Ernest B. Schoedsack,Bilim Kurgu  Korku  Macera,King Kong
Z – Ölümsüz,127 Dakika,1969,Cezayir  Fransa,Costa-Gavras,Dram  Gerilim  Suç  Tarih,Z
Le Petit Nicolas – Pıtırcık,91 Dakika,2009,Belçika  Fransa,Laurent Tirard,Aile  Komedi,Le Petit Nicolas
Laws of Attraction – Cazibe Kanunları,90 Dakika,2004,Almanya  Birleşik Krallık  İrlanda,Peter Howitt,Komedi  Romantik,Laws of Attraction
Oculus – Göz,104 Dakika,2014,ABD,Mike Flanagan,Gizem  Korku,Oculus
Time Lapse – Zaman Sapması,104 Dakika,2014,ABD,Bradley King,Bilim Kurgu  Gerilim,Time Lapse
Pola X,134 Dakika,1999,Almanya  Fransa  İsviçre  Japonya,Leos Carax,Dram  Romantik,Pola X
A Monster Calls – Canavarın Çağrısı,108 Dakika,2016,ABD  Birleşik Krallık  İspanya,J. A. Bayona,Animasyon  Dram  Fantastik,A Monster Calls
Mad Max: Fury Road,2015 Dakika,2015,ABD  Avustralya,George Miller,Aksiyon  Bilim Kurgu  Gerilim  Macera,Mad Max  Fury Road
Mad Max Beyond Thunderdome,107 Dakika,1985,Avustralya,George Miller,Aksiyon  Bilim Kurgu  Macera,Mad Max Beyond Thunderdome
Mad Max 2: The Road Warrior – Çılgın Maks 2: Savaşçı,95 Dakika,1981,Avustralya,George Miller,Aksiyon  Bilim Kurgu  Gerilim  Macera,Mad Max 2
Mad Max – Çılgın Maks,88 Dakika,1979,Avustralya,George Miller,Aksiyon  Bilim Kurgu  Gerilim  Macera,Mad Max
Le Petit Soldat – Küçük Asker,88 Dakika,1963,Fransa,Jean-Luc Godard,Dram  Savaş,The Little Soldier
The Hobbit: The Battle of the Five Armies – Hobbit: Beş Ordunun Savaşı,144 Dakika,2014,ABD  Yeni Zelanda,Peter Jackson,Fantastik  Macera,The Hobbit  The Battle of the Five Armies
The Hobbit: The Desolation of Smaug – Hobbit: Smaug’un Çorak Toprakları,161 Dakika,2013,ABD  Yeni Zelanda,Peter Jackson,Fantastik  Macera,The Hobbit  The Desolation of Smaug
The Hobbit: An Unexpected Journey – Hobbit: Beklenmedik Yolculuk,169 Dakika,2012,ABD  Yeni Zelanda,Peter Jackson,Aile  Fantastik  Macera,The Hobbit  An Unexpected Journey
The Lord of the Rings: The Return of the King – Yüzüklerin Efendisi: Kralın Dönüşü,201 Dakika,2003,ABD  Yeni Zelanda,Peter Jackson,Dram  Fantastik  Macera,The Lord of the Rings  The Return of the King
The Lord of the Rings: The Two Towers – Yüzüklerin Efendisi: İki Kule,179 Dakika,2002,ABD  Yeni Zelanda,Peter Jackson,Dram  Fantastik  Macera,The Lord of the Rings  The Two Towers
The Lord of the Rings: The Fellowship of the Ring – Yüzüklerin Efendisi: Yüzük Kardeşliği,178 Dakika,2001,ABD  Yeni Zelanda,Peter Jackson,Dram  Fantastik  Macera,The Lord of the Rings  The Fellowship of the Ring
The Fool – Durak (Enayi),116 Dakika,2014,Rusya,Yury Bykov,Dram,The Fool
Coco avant Chanel – Coco Chanel’den Önce,105 Dakika,2009,Belçika  Fransa,Anne Fontaine,Biyografi  Dram,Coco Before Chanel
Tootsie,116 Dakika,1982,ABD,Sydney Pollack,Dram  Komedi  Romantik,Tootsie
Only God Forgives – Sadece Tanrı Affeder,90 Dakika,2013,ABD  Danimarka  Fransa  İsveç,Nicolas Winding Refn,Dram  Suç,Only God Forgives
Mister Lonely,112 Dakika,2008,ABD  Birleşik Krallık  Fransa  İrlanda,Harmony Korine,Dram  Komedi,Mister Lonely
Listen to Me Marlon – Dinle Beni Marlon,103 Dakika,2015,Birleşik Krallık,Stevan Riley,Belgesel  Biyografi,Listen to Me Marlon
Shame – Utanç,101 Dakika,2011,Birleşik Krallık,Steve McQueen,Dram,Shame
Wanderlust,98 Dakika,2012,ABD,David Wain,Komedi  Romantik,Wanderlust
The Reluctant Fundamentalist – Zoraki Radikal,130 Dakika,2013,ABD  Birleşik Krallık  Katar,Mira Nair,Dram  Gerilim,The Reluctant Fundamentalist
Amen. – Amin,132 Dakika,2002,Almanya  Fransa  Romanya,Costa-Gavras,Biyografi  Dram  Savaş  Suç,Amen.
Veloce Come il Vento – Büyük Yarış,118 Dakika,2016,İtalya,Matteo Rovere,Dram  Spor,Italian Race
Frozen River – Donmuş Irmak,97 Dakika,2008,ABD,Courtney Hunt,Dram  Suç,Frozen River
Gummo,89 Dakika,1997,ABD,Harmony Korine,Dram  Komedi,Gummo
Frantic – Çılgın,120 Dakika,1988,ABD  Fransa,Roman Polanski,Dram  Gerilim  Gizem  Suç,Frantic
Upstream Color – Gizli Kimya,96 Dakika,2013,ABD,Shane Carruth,Bilim Kurgu  Dram,Upstream Color
Frances Ha,86 Dakika,2013,ABD  Brezilya,Noah Baumbach,Dram  Komedi  Romantik,Frances Ha
Banlieue 13: Ultimatum – Tehlikeli Bölge,101 Dakika,2009,Fransa,Patrick Alessandrin,Aksiyon  Gerilim  Suç,District 13  Ultimatum
Banlieue 13,84 Dakika,2004,Fransa,Pierre Morel,Aksiyon  Bilim Kurgu  Gerilim  Suç,District B13
Dead Man Walking – Ölüm Yolunda,122 Dakika,1995,ABD  Birleşik Krallık,Tim Robbins,Dram  Suç,Dead Man Walking
A Viszkis,126 Dakika,2017,Macaristan,Nimród Antal,Aksiyon  Dram  Macera  Suç,The Whiskey Bandit
Vanishing Point – Ölüm Noktası,99 Dakika,1971,ABD,Richard C. Sarafian,Aksiyon  Gerilim  Suç,Vanishing Point
A Simple Plan – Basit Bir Plan,121 Dakika,1998,ABD,Sam Raimi,Dram  Gerilim  Suç,A Simple Plan
Irrational Man – Mantıksız Adam,95 Dakika,2015,ABD,Woody Allen,Dram  Komedi,Irrational Man
Mindhunters – Beyin Avcıları,106 Dakika,2004,ABD  Birleşik Krallık  Finlandiya  Hollanda,Renny Harlin,Gerilim  Gizem  Korku  Suç,Mindhunters
Manon Des Sources,113 Dakika,1986,Fransa,Claude Berri,Dram,Manon of the Spring
Jean de Florette,120 Dakika,1986,Fransa,Claude Berri,Dram,Jean de Florette
Gandahar,78 Dakika,1987,Fransa,René Laloux,Animasyon  Bilim Kurgu  Fantastik  Macera,Gandahar
Captifs,84 Dakika,2010,Fransa,Yann Gozlan,Gerilim  Korku,Caged
La Horde,90 Dakika,2010,Fransa,Benjamin Rocher,Aksiyon  Korku,La Horde
Le Dîner de Cons – Salaklar Sofrası,80 Dakika,1998,Fransa,Francis Veber,Komedi,The Dinner Game
The Number 23 – 23 Numara,98 Dakika,2007,ABD  Almanya,Joel Schumacher,Aksiyon  Dram  Gerilim  Gizem,The Number 23
One for the Money – Aşk ve Para,91 Dakika,2012,ABD,Julie Anne Robinson,Aksiyon  Gerilim  Komedi  Romantik  Suç,One for the Money
Baby’s Day Out – Bebek Firarda,99 Dakika,1994,ABD,Patrick Read Johnson,Aile  Dram  Komedi  Macera  Suç,Baby's Day Out
Colt 45 – Büyük Tuzak,85 Dakika,2014,Belçika  Fransa,Fabrice Du Welz,Aksiyon  Dram  Gerilim  Suç,Colt 45
Siberia Monamour – Sibirya Aşkı,102 Dakika,2011,Rusya,Vyacheslav Ross,Dram,Sibir Monamur
Breaking the Waves – Dalgaları Aşmak,159 Dakika,1996,Danimarka  Fransa  Hollanda  İsveç  İzlanda  Norveç,Lars von Trier,Dram,Breaking the Waves
The Dead 2: India – Ölü 2: Hindistan,98 Dakika,2013,Birleşik Krallık,Howard J. Ford,Korku,The Dead 2  India
The Dead,105 Dakika,2010,Birleşik Krallık,Howard J. Ford,Aksiyon  Bilim Kurgu  Dram  Gerilim  Korku  Macera,The Dead
Love Happens – Aşk Olur,109 Dakika,2009,ABD  Birleşik Krallık  Kanada,Brandon Camp,Dram  Romantik,Love Happens
The Break-Up – Ayrılık,106 Dakika,2006,ABD,Peyton Reed,Dram  Komedi  Romantik,The Break-Up
Just Married – Yeni Evli,95 Dakika,2003,ABD  Almanya,Shawn Levy,Komedi  Romantik,Just Married
Message from the King – Kralın Mesajı,102 Dakika,2016,Fransa,Fabrice Du Welz,Gerilim,Message from the King
Primer – Kapsül,77 Dakika,2004,ABD,Shane Carruth,Bilim Kurgu  Dram  Gerilim,Primer
Bruce Almighty – Aman Tanrım!,101 Dakika,2003,ABD,Tom Shadyac,Dram  Fantastik  Komedi,Bruce Almighty
The Infiltrator,127 Dakika,2016,Birleşik Krallık,Brad Furman,Biyografi  Dram  Gerilim  Suç,The Infiltrator
Rammbock,63 Dakika,2010,Almanya  Avusturya,Marvin Kren,Gerilim  Korku,Rammbock
Alléluia,93 Dakika,2014,Belçika  Fransa,Fabrice Du Welz,Gerilim  Korku  Romantik  Suç,Alleluya
The Vow – Aşk Yemini,104 Dakika,2012,ABD,Michael Sucsy,Dram  Romantik,The Vow
Killers – Kiminle Evlendim,100 Dakika,2010,ABD,Robert Luketic,Aksiyon  Gerilim  Komedi  Romantik,Killers
Rumble Fish – Siyam Balığı,94 Dakika,1983,ABD,Francis Ford Coppola,Dram,Rumble Fish
The Ghost Writer – Hayalet Yazar,128 Dakika,2010,Almanya  Birleşik Krallık  Fransa,Roman Polanski,Dram  Gerilim  Gizem  Suç,The Ghost Writer
The Week Of,116 Dakika,2018,ABD,Robert Smigel,Komedi,The Week Of
Black Panther,134 Dakika,2018,ABD,Ryan Coogler,Aksiyon  Bilim Kurgu  Macera,Black Panther
Anon,100 Dakika,2018,ABD  Birleşik Krallık,Andrew Niccol,Bilim Kurgu  Gerilim,Anon
Coherence – Paralel Evren,89 Dakika,2013,ABD,James Ward Byrkit,Bilim Kurgu  Gerilim  Gizem,Coherence
Repulsion – Tiksinti,105 Dakika,1965,Birleşik Krallık,Roman Polanski,Dram  Gerilim  Korku,Repulsion
Le Locataire – Kiracı,126 Dakika,1976,Fransa,Roman Polanski,Dram  Gerilim,The Tenant
Heat – Büyük Hesaplaşma,170 Dakika,1995,ABD,Michael Mann,Dram  Gerilim  Suç,Heat
Triangle – Şeytan Üçgeni,99 Dakika,2009,Avustralya  Birleşik Krallık,Christopher Smith,Fantastik  Gerilim  Gizem,Triangle
Oliver Twist,130 Dakika,2005,Birleşik Krallık  Çekya  Fransa  İtalya,Roman Polanski,Dram  Suç,Oliver Twist
Get Him to the Greek – Zorlu Görev,109 Dakika,2010,ABD,Nicholas Stoller,Komedi  Macera  Müzik,Get Him to the Greek
Mutants,95 Dakika,2009,Fransa,David Morlet,Bilim Kurgu  Dram  Korku,Mutants
The Big Lebowski – Büyük Lebowski,117 Dakika,1998,ABD  Birleşik Krallık,Joel Coen,Komedi  Suç,The Big Lebowski
La Pazza Gioia – Deli Dolu,118 Dakika,2016,Fransa  İtalya,Paolo Virzì,Dram  Komedi,Like Crazy
Hoop Dreams,170 Dakika,1994,ABD,Steve James,Belgesel  Dram  Spor,Hoop Dreams
Beasts of the Southern Wild – Düşler Diyarı,93 Dakika,2012,ABD,Benh Zeitlin,Dram  Fantastik  Macera,Beasts of the Southern Wild
Death and the Maiden – Ölüm ve Bakire,103 Dakika,1994,ABD  Birleşik Krallık  Fransa,Roman Polanski,Dram  Gerilim  Gizem,Death and the Maiden
La Venus a La Fourrure – Kürklü Venüs,96 Dakika,2013,Fransa  Polonya,Roman Polanski,Dram,Venus in Fur
Un Long Dimanche De Fiançailles – Kayıp Nişanlı,133 Dakika,2004,Fransa,Jean-Pierre Jeunet,Dram  Gizem  Romantik  Savaş,A Very Long Engagement
Carnage – Acımasız Tanrı,80 Dakika,2011,Almanya  Fransa  İspanya  Polonya,Roman Polanski,Dram  Komedi,Carnage
Like Crazy – Çılgınlar Gibi,86 Dakika,2011,ABD,Drake Doremus,Dram  Romantik,Like Crazy
Cube 2: Hypercube – Küp 2,94 Dakika,2002,Kanada,Andrzej Sekuła,Bilim Kurgu  Gerilim,Cube 2  Hypercube
Cube – Küp,90 Dakika,1997,Kanada,Vincenzo Natali,Bilim Kurgu  Dram  Gerilim  Gizem,Cube
Blue Jasmine – Mavi Yasemin,98 Dakika,2013,ABD,Woody Allen,Dram,Blue Jasmine
Veronica Mars,107 Dakika,2014,ABD,Rob Thomas,Dram  Gerilim  Gizem  Suç,Veronica Mars
Valentine’s Day – Sevgililer Günü,125 Dakika,2010,ABD,Garry Marshall,Komedi  Romantik,Valentine's Day
Let Me In – Kanıma Gir,116 Dakika,2010,ABD  Birleşik Krallık,Matt Reeves,Dram  Fantastik  Gerilim  Gizem  Korku,Let Me In
Låt Den Rätte Komma In – Gir Kanıma,115 Dakika,2008,İsveç,Tomas Alfredson,Dram  Fantastik  Korku  Romantik  Suç,Let the Right One In
Birdy,120 Dakika,1984,ABD,Alan Parker,Dram  Savaş,Birdy
A Scanner Darkly – Karanlığı Taramak,100 Dakika,2006,ABD,Richard Linklater,Animasyon  Bilim Kurgu  Dram  Gerilim  Gizem  Suç,A Scanner Darkly
Pink Floyd: The Wall – Duvar,95 Dakika,1982,Birleşik Krallık,Alan Parker,Animasyon  Dram  Fantastik  Müzik,Pink Floyd  The Wall
Kynodontas – Köpek Dişi,94 Dakika,2009,Yunanistan,Yorgos Lanthimos,Dram  Gerilim  Korku,Dogtooth
Monsieur Lazhar – Canım Öğretmenim,94 Dakika,2011,Kanada,Philippe Falardeau,Dram  Komedi,Monsieur Lazhar
La Délicatesse – Aşkın Renkleri,108 Dakika,2011,Fransa,David Foenkinos,Dram  Komedi  Romantik,Delicacy
Me Before You – Senden Önce Ben,106 Dakika,2016,ABD,Thea Sharrock,Dram  Romantik,Me Before You
Hors La Loi,138 Dakika,2010,Belçika  Cezayir  Fransa,Rachid Bouchareb,Dram  Savaş  Suç,Outside the Law
Winter’s Bone – Gerçeğin Parçaları,100 Dakika,2010,ABD,Debra Granik,Dram,Winter's Bone
Hævnen – Daha İyi Bir Dünyada,119 Dakika,2010,Danimarka  İsveç,Susanne Bier,Dram  Romantik,In a Better World
The Ladykillers – Kadın Avcıları,104 Dakika,2004,ABD,Ethan Coen,Gerilim  Komedi  Suç,The Ladykillers
The Ladykillers – Kadın Katilleri,91 Dakika,1955,Birleşik Krallık,Alexander Mackendrick,Komedi  Suç,The Ladykillers
Lock Stock and Two Smoking Barrels – Ateşten Kalbe Akıldan Dumana,107 Dakika,1998,Birleşik Krallık,Guy Ritchie,Komedi  Suç,Lock Stock and Two Smoking Barrels
Wedding Crashers – Davetsiz Çapkınlar,119 Dakika,2005,ABD,David Dobkin,Komedi  Romantik,Wedding Crashers
Beomjoidosi,121 Dakika,2017,Güney Kore,Kang Yun-sung,Aksiyon  Suç,The Outlaws
The Machinist – Makinist,101 Dakika,2004,ABD  Birleşik Krallık  Fransa  İspanya,Brad Anderson,Dram  Gerilim,The Machinist
Seven Years in Tibet – Tibet’te Yedi Yıl,136 Dakika,1997,ABD,Jean-Jacques Annaud,Biyografi  Dram  Macera  Savaş  Tarih,Seven Years in Tibet
The Man from U.N.C.L.E. – Kod Adı: U.N.C.L.E.,116 Dakika,2015,ABD,Guy Ritchie,Aksiyon  Komedi  Macera,The Man from U.N.C.L.E.
WALL·E – VOL·i,98 Dakika,2008,ABD,Andrew Stanton,Aile  Animasyon  Bilim Kurgu  Macera,WALL·E
Cloud Atlas – Bulut Atlası,172 Dakika,2012,ABD  Almanya  Hong Kong  Singapur,Lana Wachowski,Aksiyon  Bilim Kurgu  Dram  Gizem,Cloud Atlas
Padmaavat,164 Dakika,2018,Hindistan,Sanjay Leela Bhansali,Dram  Romantik  Savaş  Tarih,Padmaavat
Florence Foster Jenkins,111 Dakika,2016,ABD  Birleşik Krallık,Stephen Frears,Biyografi  Dram  Komedi  Müzik,Florence Foster Jenkins
The Gift – Geçmişten Gelen,108 Dakika,2015,ABD  Avustralya,Joel Edgerton,Dram  Gerilim  Gizem,The Gift
Seven Psychopaths – Yedi Psikopat,110 Dakika,2012,Birleşik Krallık,Martin McDonagh,Komedi  Suç,Seven Psychopaths
Dod Sno 2 – Ölü Kar 2,100 Dakika,2014,Norveç,Tommy Wirkola,Aksiyon  Komedi  Korku,Dead Snow 2
Dod Sno – Ölü Kar,90 Dakika,2009,Norveç,Tommy Wirkola,Komedi  Korku,Dead Snow
Kaguyahime No Monogatari – Prenses Kaguya Masalı,137 Dakika,2013,Japonya,Isao Takahata,Aile  Animasyon  Dram  Fantastik  Macera,The Tale of The Princess Kaguya
Vratné Lahve – Depozitolu Şişeler,104 Dakika,2007,Çekya,Jan Svěrák,Dram  Komedi,Empties
Red Sparrow – Kızıl Serçe,140 Dakika,2018,ABD,Francis Lawrence,Dram  Gerilim  Gizem,Red Sparrow
Munich – Münih,164 Dakika,2005,ABD  Fransa  Kanada,Steven Spielberg,Dram  Gerilim  Tarih,Munich
Tmavomodrý Svet – Koyu Mavi Dünya,112 Dakika,2001,Almanya  Birleşik Krallık  Çekya  Danimarka  Fransa  İtalya,Jan Svěrák,Aksiyon  Dram  Romantik  Savaş,Dark Blue World
The Hitcher – Otostopçu,97 Dakika,1986,ABD,Robert Harmon,Gerilim,The Hitcher
Beginner,100 Dakika,2016,Türkiye,Burçak Üzen,Dram,Beginner
Shotgun Stories,92 Dakika,2007,ABD,Jeff Nichols,Dram  Gerilim,Shotgun Stories
Spring Breakers – Bahar Tatili,94 Dakika,2013,ABD  Fransa,Harmony Korine,Dram  Suç,Spring Breakers
Una – Karatavuk,94 Dakika,2017,ABD  Birleşik Krallık  Kanada,Benedict Andrews,Dram  Romantik,Blackbird
Barton Fink,116 Dakika,1991,ABD  Birleşik Krallık,Joel Coen,Dram  Gerilim  Suç,Barton Fink
Grindhouse – Dehşet Gezegeni,191 Dakika,2007,ABD,Edgar Wright,Aksiyon  Gerilim  Korku,Grindhouse
I Kill Giants – Dev Avcısı,106 Dakika,2018,ABD  Belçika  Birleşik Krallık,Anders Walter,Dram  Fantastik  Gerilim,I Kill Giants
A Martfüi Rém,121 Dakika,2016,Macaristan,Árpád Sopsits,Gerilim  Suç,Strangled
Nuummioq,95 Dakika,2009,Danimarka  Grönland,Otto Rosing,Dram  Romantik,Nuummioq
Christine,119 Dakika,2016,ABD,Antonio Campos,Dram,Christine
Visages Villages – Mekanlar ve Yüzler,89 Dakika,2017,Fransa,Agnès Varda,Belgesel,Faces Places
Forever My Girl,108 Dakika,2018,ABD,Bethany Ashton Wolf,Dram  Müzik  Romantik,Forever My Girl
La Caja 507 – Kasa 507,104 Dakika,2002,İspanya,Enrique Urbizu,Aksiyon  Dram  Gerilim  Suç,La Caja 507
Little Fockers – Zor Baba 3,98 Dakika,2010,ABD,Paul Weitz,Komedi  Romantik,Little Fockers
Meet the Fockers – Zor Baba ve Dünür,115 Dakika,2004,ABD,Jay Roach,Komedi  Romantik,Meet the Fockers
Meet the Parents – Zor Baba,108 Dakika,2000,ABD,Jay Roach,Komedi  Romantik,Meet the Parents
Once Upon a Time in Mexico – Bir Zamanlar Meksika’da,102 Dakika,2003,ABD,Robert Rodriguez,Aksiyon  Gerilim,Once Upon a Time in Mexico
Desperado,104 Dakika,1995,ABD,Robert Rodriguez,Aksiyon  Gerilim,Desperado
El Mariachi – Gitarım ve Silahım,81 Dakika,1992,ABD  Meksika,Robert Rodriguez,Aksiyon  Gerilim  Suç,El Mariachi
Jackie & Ryan – Beni Sevdiğin Gibi Sev,90 Dakika,2014,ABD,Ami Canaan Mann,Aile  Dram  Müzik  Romantik,Jackie & Ryan
Jackie Brown,154 Dakika,1997,ABD,Quentin Tarantino,Dram  Gerilim  Suç,Jackie Brown
Jackie,100 Dakika,2016,ABD  Almanya  Birleşik Krallık  Çin  Fransa  Şili,Pablo Larraín,Biyografi  Dram  Tarih,Jackie
Up – Yukarı Bak,96 Dakika,2009,ABD,Pete Docter,Aile  Animasyon  Komedi  Macera,Up
The Illusionist – Sihirbaz,110 Dakika,2006,ABD,Neil Burger,Dram  Gerilim  Gizem  Romantik,The Illusionist
War Horse – Savaş Atı,146 Dakika,2011,ABD,Steven Spielberg,Dram  Savaş,War Horse
Platoon – Müfreze,120 Dakika,1986,ABD  Birleşik Krallık,Oliver Stone,Dram  Savaş,Platoon
The Lobster – Istakoz,119 Dakika,2015,Birleşik Krallık  Fransa  Hollanda  İrlanda  Yunanistan,Yorgos Lanthimos,Bilim Kurgu  Dram  Komedi  Romantik,The Lobster
The Man Who Wasn’t There – Orada Olmayan Adam,116 Dakika,2001,ABD  Birleşik Krallık,Joel Coen,Dram  Suç,The Man Who Wasn't There
Fritt Vilt III – Şeytanın Oteli 3,95 Dakika,2010,Norveç,Mikkel Brænne Sandemose,Dram  Gizem  Korku,Cold Prey 3
